Injection,Layer,TensorIndex,Bit
1632,conv2d_56,"(0, 0, 672, 176)",21
1633,conv2d_56,"(2, 2, 1842, 130)",11
1634,conv2d_56,"(0, 1, 599, 244)",25
1635,conv2d_56,"(2, 1, 12, 34)",18
1636,conv2d_56,"(2, 2, 107, 198)",4
1637,conv2d_56,"(0, 1, 1926, 69)",13
1638,conv2d_56,"(1, 0, 197, 22)",16
1639,conv2d_56,"(0, 1, 1096, 46)",25
1640,conv2d_56,"(0, 1, 1105, 178)",4
1641,conv2d_56,"(2, 1, 1880, 214)",30
1642,conv2d_56,"(2, 2, 1914, 75)",21
1643,conv2d_56,"(0, 0, 1732, 65)",27
1644,conv2d_56,"(1, 1, 463, 182)",7
1645,conv2d_56,"(1, 2, 731, 69)",10
1646,conv2d_56,"(0, 2, 1017, 128)",21
1647,conv2d_56,"(0, 1, 989, 17)",17
1648,conv2d_56,"(2, 2, 339, 116)",26
1649,conv2d_56,"(0, 1, 579, 46)",31
1650,conv2d_56,"(2, 1, 650, 201)",15
1651,conv2d_56,"(2, 0, 1780, 223)",18
1652,conv2d_56,"(1, 0, 1459, 88)",14
1653,conv2d_56,"(2, 1, 281, 245)",1
1654,conv2d_56,"(0, 0, 1350, 197)",8
1655,conv2d_56,"(1, 2, 1668, 210)",26
1656,conv2d_56,"(2, 2, 1333, 146)",27
1657,conv2d_56,"(2, 0, 1657, 234)",7
1658,conv2d_56,"(2, 1, 811, 227)",27
1659,conv2d_56,"(1, 2, 1442, 228)",13
1660,conv2d_56,"(0, 1, 1349, 23)",2
1661,conv2d_56,"(2, 1, 1788, 99)",14
1662,conv2d_56,"(0, 2, 700, 1)",1
1663,conv2d_56,"(2, 1, 1008, 168)",22
1664,conv2d_56,"(2, 0, 718, 76)",18
1665,conv2d_56,"(2, 0, 1628, 10)",11
1666,conv2d_56,"(1, 2, 733, 0)",11
1667,conv2d_56,"(2, 1, 439, 45)",27
1668,conv2d_56,"(2, 0, 1120, 240)",24
1669,conv2d_56,"(2, 0, 1974, 13)",29
1670,conv2d_56,"(1, 2, 827, 117)",21
1671,conv2d_56,"(2, 0, 1377, 136)",29
1672,conv2d_56,"(1, 0, 1889, 99)",15
1673,conv2d_56,"(2, 1, 1312, 63)",21
1674,conv2d_56,"(2, 2, 1886, 151)",8
1675,conv2d_56,"(0, 2, 526, 255)",12
1676,conv2d_56,"(0, 1, 1854, 120)",29
1677,conv2d_56,"(0, 1, 1882, 169)",11
1678,conv2d_56,"(2, 0, 953, 111)",21
1679,conv2d_56,"(0, 0, 623, 252)",4
1680,conv2d_56,"(1, 1, 1349, 0)",18
1681,conv2d_56,"(1, 0, 859, 140)",6
1682,conv2d_56,"(2, 0, 1402, 41)",27
1683,conv2d_56,"(0, 1, 886, 217)",2
1684,conv2d_56,"(2, 2, 1628, 110)",31
1685,conv2d_57,"(0, 0, 159, 120)",7
1686,conv2d_57,"(0, 0, 1353, 88)",29
1687,conv2d_57,"(0, 0, 903, 230)",18
1688,conv2d_57,"(0, 0, 542, 79)",2
1689,conv2d_57,"(0, 0, 779, 224)",28
1690,conv2d_57,"(0, 0, 810, 0)",8
1691,conv2d_57,"(0, 0, 1854, 246)",20
1692,conv2d_57,"(0, 0, 1118, 10)",4
1693,conv2d_57,"(0, 0, 1281, 205)",3
1694,conv2d_57,"(0, 0, 356, 34)",0
1695,conv2d_57,"(0, 0, 1118, 7)",27
1696,conv2d_57,"(0, 0, 189, 246)",29
1697,conv2d_57,"(0, 0, 221, 91)",5
1698,conv2d_57,"(0, 0, 1831, 26)",15
1699,conv2d_57,"(0, 0, 960, 94)",0
1700,conv2d_57,"(0, 0, 1159, 214)",5
1701,conv2d_57,"(0, 0, 1184, 106)",31
1702,conv2d_57,"(0, 0, 1573, 255)",2
1703,conv2d_57,"(0, 0, 1466, 8)",12
1704,conv2d_57,"(0, 0, 1214, 133)",3
1705,conv2d_57,"(0, 0, 104, 39)",31
1706,conv2d_57,"(0, 0, 1132, 236)",25
1707,conv2d_57,"(0, 0, 1106, 42)",12
1708,conv2d_58,"(0, 0, 1115, 185)",30
1709,conv2d_58,"(0, 0, 592, 128)",31
1710,conv2d_58,"(0, 0, 536, 12)",1
1711,conv2d_58,"(0, 0, 848, 85)",16
1712,conv2d_58,"(0, 0, 816, 49)",3
1713,conv2d_58,"(0, 0, 727, 27)",31
1714,conv2d_58,"(0, 0, 1223, 207)",23
1715,conv2d_58,"(0, 0, 571, 190)",18
1716,conv2d_58,"(0, 0, 647, 182)",3
1717,conv2d_58,"(0, 0, 1205, 41)",16
1718,conv2d_58,"(0, 0, 638, 254)",18
1719,conv2d_58,"(0, 0, 788, 182)",5
1720,conv2d_58,"(0, 0, 61, 171)",15
1721,conv2d_58,"(0, 0, 1159, 212)",15
1722,conv2d_59,"(1, 0, 133, 23)",13
1723,conv2d_59,"(2, 0, 83, 120)",12
1724,conv2d_59,"(1, 2, 105, 54)",26
1725,conv2d_59,"(0, 2, 215, 29)",7
1726,conv2d_59,"(2, 1, 219, 43)",21
1727,conv2d_59,"(1, 2, 251, 238)",6
1728,conv2d_59,"(1, 1, 124, 151)",24
1729,conv2d_59,"(0, 2, 79, 45)",28
1730,conv2d_59,"(2, 2, 174, 32)",26
1731,conv2d_59,"(0, 2, 76, 120)",19
1732,conv2d_59,"(1, 1, 32, 135)",31
1733,conv2d_59,"(1, 0, 228, 27)",13
1734,conv2d_59,"(0, 1, 156, 254)",14
1735,conv2d_59,"(0, 0, 70, 236)",24
1736,conv2d_59,"(2, 2, 169, 131)",26
1737,conv2d_59,"(1, 2, 34, 152)",7
1738,conv2d_59,"(0, 0, 17, 117)",18
1739,conv2d_59,"(0, 1, 159, 86)",4
1740,conv2d_59,"(2, 1, 233, 42)",21
1741,conv2d_59,"(0, 1, 117, 165)",25
1742,conv2d_59,"(0, 2, 217, 137)",3
1743,conv2d_59,"(1, 2, 225, 163)",3
1744,conv2d_59,"(0, 0, 195, 227)",28
1745,conv2d_59,"(1, 2, 213, 11)",31
1746,conv2d_59,"(0, 0, 2, 203)",6
1747,conv2d_59,"(1, 0, 140, 137)",18
1748,conv2d_61,"(1, 2, 486, 29)",11
1749,conv2d_61,"(1, 0, 553, 177)",22
1750,conv2d_61,"(0, 0, 2, 103)",6
1751,conv2d_61,"(2, 2, 253, 60)",4
1752,conv2d_61,"(2, 1, 720, 220)",1
1753,conv2d_61,"(2, 2, 307, 56)",18
1754,conv2d_61,"(1, 0, 454, 163)",15
1755,conv2d_61,"(1, 2, 558, 161)",16
1756,conv2d_61,"(0, 2, 236, 16)",7
1757,conv2d_61,"(1, 1, 720, 46)",19
1758,conv2d_61,"(1, 1, 828, 201)",29
1759,conv2d_61,"(1, 0, 479, 244)",24
1760,conv2d_61,"(1, 2, 470, 245)",29
1761,conv2d_61,"(1, 2, 96, 194)",30
1762,conv2d_61,"(2, 0, 339, 170)",8
1763,conv2d_61,"(0, 1, 656, 173)",7
1764,conv2d_61,"(2, 0, 209, 145)",7
1765,conv2d_61,"(2, 0, 791, 174)",18
1766,conv2d_61,"(0, 1, 648, 27)",17
1767,conv2d_61,"(2, 1, 314, 194)",9
1768,conv2d_61,"(1, 0, 78, 205)",13
1769,conv2d_61,"(0, 0, 142, 132)",1
1770,conv2d_61,"(0, 0, 16, 215)",5
1771,conv2d_61,"(1, 0, 366, 244)",19
1772,conv2d_61,"(1, 2, 300, 64)",14
1773,conv2d_61,"(1, 2, 913, 41)",14
1774,conv2d_61,"(0, 0, 16, 164)",24
1775,conv2d_61,"(1, 1, 251, 139)",12
1776,conv2d_61,"(1, 2, 1015, 75)",11
1777,conv2d_61,"(2, 2, 921, 113)",14
1778,conv2d_61,"(1, 2, 128, 90)",19
1779,conv2d_61,"(0, 1, 821, 122)",25
1780,conv2d_61,"(0, 1, 25, 194)",24
1781,conv2d_61,"(1, 0, 864, 172)",12
1782,conv2d_61,"(0, 1, 176, 12)",26
1783,conv2d_61,"(1, 1, 470, 218)",8
1784,conv2d_61,"(0, 2, 719, 184)",6
1785,conv2d_61,"(0, 0, 542, 190)",0
1786,conv2d_61,"(2, 0, 819, 125)",0
1787,conv2d_61,"(0, 1, 67, 140)",5
1788,conv2d_61,"(0, 0, 554, 149)",5
1789,conv2d_61,"(2, 0, 647, 232)",5
1790,conv2d_61,"(0, 0, 71, 13)",1
1791,conv2d_61,"(1, 1, 293, 249)",20
1792,conv2d_61,"(0, 1, 966, 33)",22
1793,conv2d_61,"(1, 1, 686, 86)",27
1794,conv2d_61,"(2, 0, 550, 201)",26
1795,conv2d_61,"(2, 0, 27, 217)",9
1796,conv2d_61,"(0, 0, 650, 64)",0
1797,conv2d_61,"(1, 0, 31, 86)",16
1798,conv2d_61,"(2, 2, 203, 101)",25
1799,conv2d_61,"(1, 2, 910, 44)",5
1800,conv2d_61,"(2, 2, 156, 114)",6
1801,conv2d_61,"(1, 1, 101, 8)",16
1802,conv2d_61,"(2, 1, 713, 143)",7
1803,conv2d_61,"(1, 1, 139, 153)",20
1804,conv2d_61,"(1, 1, 433, 86)",5
1805,conv2d_61,"(1, 1, 775, 36)",4
1806,conv2d_61,"(0, 0, 951, 82)",14
1807,conv2d_61,"(0, 2, 253, 140)",4
1808,conv2d_61,"(0, 2, 59, 75)",19
1809,conv2d_61,"(1, 2, 78, 170)",8
1810,conv2d_61,"(0, 0, 93, 38)",28
1811,conv2d_61,"(0, 1, 274, 202)",23
1812,conv2d_61,"(2, 1, 326, 11)",28
1813,conv2d_61,"(0, 2, 765, 50)",13
1814,conv2d_61,"(0, 2, 140, 137)",20
1815,conv2d_61,"(1, 1, 832, 89)",5
1816,conv2d_61,"(2, 2, 726, 246)",11
1817,conv2d_61,"(2, 1, 773, 108)",12
1818,conv2d_61,"(2, 0, 473, 166)",14
1819,conv2d_61,"(1, 0, 577, 255)",19
1820,conv2d_61,"(2, 1, 878, 7)",17
1821,conv2d_61,"(2, 1, 916, 102)",27
1822,conv2d_61,"(2, 1, 433, 245)",31
1823,conv2d_61,"(1, 0, 231, 115)",4
1824,conv2d_61,"(0, 1, 521, 142)",5
1825,conv2d_61,"(1, 1, 29, 75)",15
1826,conv2d_61,"(2, 0, 377, 95)",20
1827,conv2d_61,"(1, 1, 819, 179)",5
1828,conv2d_61,"(0, 2, 978, 127)",6
1829,conv2d_61,"(1, 2, 580, 146)",6
1830,conv2d_61,"(2, 2, 608, 222)",25
1831,conv2d_61,"(0, 1, 431, 180)",20
1832,conv2d_61,"(0, 2, 481, 23)",18
1833,conv2d_61,"(1, 2, 775, 243)",5
1834,conv2d_61,"(2, 0, 74, 192)",26
1835,conv2d_61,"(1, 2, 445, 130)",29
1836,conv2d_61,"(1, 0, 520, 80)",13
1837,conv2d_61,"(2, 1, 1005, 32)",18
1838,conv2d_61,"(0, 0, 660, 3)",13
1839,conv2d_61,"(2, 0, 633, 111)",24
1840,conv2d_61,"(0, 0, 622, 10)",15
1841,conv2d_61,"(2, 1, 261, 140)",4
1842,conv2d_61,"(2, 0, 530, 149)",7
1843,conv2d_61,"(2, 1, 869, 249)",5
1844,conv2d_61,"(0, 2, 616, 213)",15
1845,conv2d_61,"(2, 0, 709, 35)",20
1846,conv2d_61,"(1, 1, 119, 112)",7
1847,conv2d_61,"(0, 0, 824, 234)",14
1848,conv2d_61,"(1, 2, 958, 195)",31
1849,conv2d_61,"(2, 1, 287, 198)",28
1850,conv2d_61,"(1, 0, 803, 45)",15
1851,conv2d_61,"(2, 0, 906, 129)",18
